city,farm_name,job_name,demand_num,leave_num,manager,unit_address,dining_offer,dorm_offer,on_work,job_intro,conditions,address,workfare,service
苗栗縣,萬麗園藝推廣中心,定值與扦插施肥除草,2,2,李再萬,卓蘭鎮西坪里43-2號,是,是,08:00-12:00；12:30-16:30,麗格海棠上盆定植，常春藤及其他小品扦插,,苗栗縣卓蘭鎮西坪里43-2號,月休8日,麗格海棠(7-4月)，常春藤(全年)，拖鞋蘭(全年)及其他盆花。
city,farm_name,job_name,demand_num,leave_num,manager,unit_address,dining_offer,dorm_offer,on_work,job_intro,conditions,address,workfare,service
新竹縣,雅葳農莊,田間管理,2,2,徐榮偉,尖石鄉錦屏村那羅229-1號,是,是,每日8小時,田間全面實習,,新竹縣尖石鄉錦屏村那羅229-1號,月休8日,1.有機蔬菜之種植及販售：高麗菜、白花菜、青花菜、南瓜、玉米、四季豆、包心菜、小黃瓜、小米、地瓜葉、川七、小白菜、青江菜、小松、黑葉白、空心菜、椴木香菇。。2.農遊體驗：泡菜DIY、小米種植體驗、一日農夫遊行程。。3.加工產品製作：有機高麗泡菜、酸高麗。。4.開設食農教育課程。
