行政區別,村里別,投開票所別,1何堅心,2葉進國,3許慧玉,4林芳如,5張勝富,6吳利成,7王慧玲,8邱俊憲,9沈英章,有效票數,無效票數,投票數,已領未投票數,發出票數,用餘票數,選舉人數,投票率
大樹區,姑山里,735,19,60,35,230,20,225,20,35,11,655,16,671,0,671,269,940,71.3799972534179
大樹區,大坑里,736,51,59,134,308,37,249,38,56,26,958,9,967,0,967,405,1372,70.4800033569335
大樹區,井腳里,737,10,11,22,264,17,91,21,60,25,521,11,532,0,532,223,755,70.4599990844726
大樹區,井腳里,738,12,20,29,323,17,81,25,35,14,556,2,558,0,558,202,760,73.4199981689453
大樹區,小坪里,739,38,15,75,325,25,331,32,77,20,938,11,949,0,949,292,1241,76.4700012207031
大樹區,龍目里,740,17,36,36,183,35,97,22,55,6,487,7,494,0,494,195,689,71.6999969482421
大樹區,龍目里,741,22,44,88,194,29,196,16,63,15,667,9,676,0,676,226,902,74.9400024414062
大樹區,大樹里,742,32,23,86,263,36,257,52,64,24,837,22,859,0,859,372,1231,69.7799987792968
大樹區,大樹里,743,24,25,49,311,38,280,31,64,20,842,15,857,0,857,255,1112,77.0699996948242
大樹區,三和里,744,5,27,116,164,21,169,18,34,19,573,9,582,0,582,366,948,61.3899993896484
大樹區,溪埔里,745,8,72,62,151,11,196,11,46,4,561,11,572,0,572,247,819,69.8399963378906
大樹區,溪埔里,746,44,60,37,213,25,93,21,30,7,530,11,541,0,541,187,728,74.3099975585937
大樹區,興田里,747,24,18,50,197,61,286,26,38,13,713,19,732,0,732,306,1038,70.5199966430664
大樹區,興田里,748,8,3,79,95,10,107,18,265,2,587,4,591,0,591,306,897,65.8899993896484
大樹區,統嶺里,749,27,67,72,138,52,82,10,132,8,588,8,596,0,596,110,706,84.4199981689453
